Company_Name,Dependent-Company Status,Age of company in years,Internet Activity Score,Employee Count,Last Funding Amount,Number of Investors in Seed,Number of of repeat investors,Focus on consumer data?,Machine Learning based business,Predictive Analytics business,Online or offline venture - physical location based business or online venture?,Solutions offered,Number of Direct competitors,"Avg time to investment - average across all rounds, measured from previous investment",Renown score,
Company322,Success,9,-5,1,3000000,3,1,No,No,No,Online,Yes,0,50,7,
Company323,Failed,6,2,4,2500000,2,0,No,No,No,Offline,Yes,6,20,0,
Company324,Success,7,702,197,,0,0,No,No,No,Online,Yes,2,1,5,
Company325,Success,7,413,168,15000000,0,0,No,Yes,No,Online,Yes,0,11.575,3,
Company326,Success,9,-20,67,20000000,0,2,No,Yes,Yes,Online,Yes,0,7.911111111,2,
Company327,Success,5,-9,0,,1,0,No,No,No,Online,Yes,0,3,6,
Company328,Failed,5,-104,20,6000000,7,2,No,No,No,Online,Yes,0,9.688888889,10,
Company329,Success,5,-75,23,11000000,0,1,No,No,Yes,Online,Yes,0,12.61666667,1,
Company330,Success,5,162,0,3000000,0,0,No,No,No,Online,Yes,8,4,3,
Company331,Success,6,106,16,100000,1,0,No,Yes,Yes,Online,Yes,0,2.626666667,3,
Company332,Success,7,66,6,5000000,0,1,No,Yes,Yes,Online,Yes,4,18.7,5,
Company333,Failed,4,-1,0,30000,1,1,No,No,No,Online,No,1,14,3,
Company334,Success,2,-6,1,50000,1,1,No,Yes,Yes,Online,No,0,14,0,
Company335,Success,4,667,,1100000,6,1,No,Yes,No,Online,Yes,0,8.283333333,0,
Company336,Success,4,-497,1,2000000,1,1,No,Yes,Yes,Online,No,12,38,2,
Company337,Success,8,-6,0,2200000,2,1,No,No,No,Online,No,10,18.61111111,1,
Company338,Failed,8,-18,1,200000,2,0,No,Yes,Yes,Online,No,0,24,5,
Company339,Success,6,-116,,2000000,1,0,No,Yes,Yes,Online,Yes,0,30,0,
Company340,Failed,4,-6,0,,0,1,No,No,No,Online,Yes,2,1,4,
Company341,Success,6,75,48,400000,2,0,No,Yes,Yes,Online,No,8,2.516666667,5,
Company342,Success,1,64,,,0,0,No,No,Yes,Online,No,0,1,7,
Company343,Failed,4,-33,1,,1,0,No,Yes,Yes,Online,Yes,0,25,0,
Company344,Success,2,96,10,,0,0,Yes,No,Yes,Online,Yes,0,1,2,
Company345,Failed,2,16,1,,0,0,No,No,No,Online,Yes,0,1,3,
Company346,Success,2,398,11,,0,0,Yes,No,Yes,Online,Yes,5,No Info,0,
Company347,Success,2,,,,1,0,No,No,No,Online,No,0,1,1,
Company348,Success,4,481,12,,3,0,No,No,No,Online,Yes,4,1,0,
Company349,Success,No Info,,,,2,0,No,No,No,Online,Yes,0,1,6,
Company350,Success,2,132,9,,1,0,No,No,No,Online,Yes,0,1,1,
Company351,Success,1,451,2,,1,0,Yes,No,Yes,Online,No,0,1,5,
Company352,Success,4,461,27,,1,0,No,No,No,Offline,No Info,0,1,1,
Company353,Success,3,278,5,,3,0,Yes,No,No,Online,No Info,0,1,0,
Company354,Success,3,68,,,1,0,Yes,Yes,Yes,Online,Yes,1,1,0,
Company355,Success,1,-68,,,0,0,No,Yes,Yes,Online,No,6,1,0,
Company356,Success,2,115,4,,6,0,No,Yes,Yes,Online,Yes,4,1,0,
Company357,Success,1,41,,,1,1,No,Yes,Yes,Online,Yes,2,1,2,
Company358,Success,2,398,11,,10,0,Yes,Yes,Yes,Online,No,4,1,4,
Company359,Success,4,93,5,,3,0,No,Yes,No,Online,No,4,1,1,
Company360,Success,1,-20,,,1,0,No,No,No,Online,Yes,25,1,0,
Company361,Success,3,1,0,,1,0,No,Yes,No,Online,No,16,1,0,
Company362,Success,3,-14,4,,3,0,No,Yes,Yes,Online,No,0,1,1,
Company363,Success,2,146,16,,2,2,No,Yes,Yes,Online,No,12,1,6,
Company364,Success,4,530,4,,2,0,No,Yes,Yes,Online,No,33,1,3,
Company365,Success,1,297,13,,3,0,No,Yes,No,Online,No Info,18,1,2,
Company366,Success,4,-2,,,1,0,No,No,No,Online,Yes,0,1,1,
Company367,Success,3,33,2,,0,0,No,Yes,Yes,Online,No Info,3,1,3,
Company368,Failed,No Info,144,,,1,0,No,No,No,Online,No,4,1,0,
Company369,Success,7,702,197,,1,0,No,No,No,Online,Yes,2,1,5,
Company370,Failed,4,-6,0,,1,1,No,No,No,Online,Yes,2,1,4,
Company371,Failed,2,68,14,1200000,0,0,Yes,No,No,Offline,No,0,20,8,
Company372,Success,4,154,5,1700000,4,0,Yes,No,No,Online,No,0,5,6,
Company373,Success,6,3,2,3750000,0,0,No,No,No,Online,No,0,No Info,0,
Company374,Failed,9,126,89,1402652,0,6,No,No,No,Offline,Yes,3,12,7,
Company375,Failed,6,0,,1025000,0,0,Yes,No,No,Offline,No,0,20,No Info,
Company376,Success,,60,,6700000,0,0,No,No,No,Online,No,2,20,No Info,
Company377,Success,,-182,,2000000,1,0,No,No,No,Online,No,2,No Info,No Info,
Company378,Failed,7,0,,3500000,0,0,No,No,No,Online,No,3,No Info,No Info,
Company379,Success,4,61,0,2700000,12,1,No,No,No,Online,No,0,20,No Info,
Company380,Success,9,1,33,15000000,0,2,No,No,No,Online,No,4,12,7,
Company381,Failed,3,113,26,14000000,0,0,No,No,No,Online,Yes,3,12,2,
Company382,Failed,3,119,21,6500000,12,3,No,No,Yes,Online,No,0,12,6,
Company383,Failed,4,169,28,2200000,0,2,No,No,Yes,Online,Yes,0,12,7,
Company384,Failed,4,516,71,8000000,6,2,No,No,No,Online,Yes,0,12,7,
Company385,Failed,3,329,46,8000000,2,2,Yes,No,Yes,Online,Yes,0,12,8,
Company386,Failed,,81,88,7000000,0,0,Yes,No,Yes,Offline,Yes,0,No Info,0,
Company387,Failed,8,263,139,30000000,0,0,No,No,Yes,Online,No,0,40,3,
Company388,Failed,4,367,26,11000000,0,0,No,No,Yes,Online,Yes,0,12,1,
Company389,Failed,5,357,39,11000000,0,0,No,No,No,Online,No,1,12,6,
Company390,Failed,,75,63,2250000,0,0,No,No,Yes,Offline,Yes,1,No Info,7,
Company391,Failed,,241,,5200000,1,1,No,No,No,Online,Yes,1,No Info,5,
Company392,Failed,6,-19,18,3000000,0,0,No,No,No,Offline,Yes,0,12,0,
Company393,Failed,3,-37,0,,0,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company394,Failed,4,-62,2,200000,1,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company395,Failed,,,,,0,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company396,Failed,8,0,,,0,0,No,No,No,Online,No Info,No Info,No Info,5,
Company397,Failed,5,-4,,,0,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company398,Failed,6,16,,1000000,6,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company399,Failed,1,22,,100000,1,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company400,Failed,7,0,,500000,1,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company401,Failed,,-8,,10250000,0,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company402,Failed,,,,,2,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company403,Failed,5,-69,1,1000000,1,0,No,No,No,No Info,No Info,No Info,No Info,No Info,
Company404,Failed,9,46,,4250000,0,3,No,No,No,Offline,No Info,No Info,No Info,7,
Company405,Failed,,,,,1,0,No,No,No,Online,No Info,No Info,No Info,8,
Company406,Failed,,,,,0,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company407,Failed,,,,,0,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company408,Failed,,,,,1,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company409,Failed,,,,,0,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company410,Failed,,-7,16,77000000,0,0,No,No,No,Online,No Info,No Info,No Info,5,
Company411,Failed,6,-12,1,175000,0,0,No,No,No,Online,No Info,No Info,No Info,0,
Company412,Failed,,-58,4,4500000,0,0,No,No,No,Online,No Info,No Info,No Info,1,
Company413,Failed,,,,,0,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company414,Failed,,,,,1,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company415,Failed,3,-4,0,,0,0,No,No,No,Online,No Info,No Info,No Info,4,
Company416,Failed,6,-53,92,55000000,No Info,No Info,No Info,No,No,Both,No Info,No Info,No Info,8,
Company417,Failed,7,-283,17,25000000,No Info,No Info,No,No,No,Online,No Info,No Info,No Info,9,
Company418,Failed,11,-16,3,5000000,No Info,No Info,No Info,No,No,Online,No Info,No Info,No Info,9,
Company419,Failed,9,-369,18,4000000,No Info,No Info,No,No,No,Online,No Info,No Info,No Info,8,
Company420,Failed,7,0,6,20000000,No Info,No Info,No Info,No Info,No Info,Online,No Info,No Info,No Info,0,
Company421,Failed,17,224,128,2000000,No Info,No Info,No Info,No,No,Online,No Info,No Info,No Info,7,
Company422,Failed,8,-91,2,7000000,No Info,No Info,Yes,No,No,Online,No Info,No Info,No Info,No Info,
Company423,Failed,,,,,No Info,No Info,No,No Info,Yes,Online,No Info,No Info,No Info,No Info,
Company424,Failed,,1,1,6000000,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,
Company425,Failed,,-3,,6600000,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,
Company426,Failed,6,-89,6,4700000,No Info,No Info,Yes,No,No,Online,No Info,No Info,No Info,No Info,
Company427,Failed,3,-228,6,5500000,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,
Company428,Failed,7,-2,,1512066,No Info,No Info,No Info,No,No,Online,No Info,No Info,No Info,No Info,
Company429,Failed,,,,,No Info,0,Yes,No,No,Offline,No Info,No Info,No Info,3,
Company430,Failed,,7,,,No Info,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company431,Failed,,-61,,5000000,0,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company432,Failed,9,-10,6,22000000,0,2,No,No,No,Online,No Info,No Info,No Info,0,
Company433,Failed,,-2,,,No Info,0,No,No,No,Offline,No Info,No Info,No Info,No Info,
Company434,Failed,,,,,No Info,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company435,Failed,,-13,2,7000000,0,0,Yes,No,No,Online,No Info,No Info,No Info,No Info,
Company436,Failed,5,110,0,500000,No Info,0,No,No,No,Online,No Info,No Info,No Info,0,
Company437,Failed,9,42,1,3314300,0,3,No,Yes,Yes,Online,No Info,No Info,No Info,No Info,
Company438,Failed,,,,,0,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company439,Failed,4,30,0,12000,No Info,No Info,Yes,Yes,No,Online,No Info,No Info,No Info,2,
Company440,Failed,,,,,No Info,No Info,Yes,Yes,No,Online,No Info,No Info,No Info,No Info,
Company441,Failed,,,,,No Info,No Info,Yes,No,No,Online,No Info,No Info,No Info,0,
Company442,Failed,6,-62,4,500000,No Info,No Info,Yes,No,No,Online,No Info,No Info,No Info,1,
Company443,Failed,3,-72,3,1000000,No Info,No Info,Yes,Yes,No,Online,No Info,No Info,No Info,4,
Company444,Failed,3,0,,,No Info,No Info,Yes,No,No,Online,No Info,No Info,No Info,No Info,
Company445,Failed,,,,,No Info,No Info,Yes,No,No,Online,No Info,No Info,No Info,No Info,
Company446,Failed,5,-24,,18000,No Info,No Info,Yes,Yes,No,Online,No Info,No Info,No Info,No Info,
Company447,Failed,,,,,No Info,No Info,Yes,Yes,No,Online,No Info,No Info,No Info,No Info,
Company448,Failed,,,,,No Info,No Info,Yes,Yes,No,Online,No Info,No Info,No Info,No Info,
Company449,Failed,,-56,,,No Info,No Info,Yes,No,No,Online,No Info,No Info,No Info,No Info,
Company450,Failed,,,,,No Info,No Info,Yes,Yes,No,Online,No Info,No Info,No Info,No Info,
Company451,Failed,9,31,170,10660000,No Info,No Info,No,Yes,No,Offline,No Info,No Info,No Info,No Info,
Company452,Failed,,,,,No Info,No Info,Yes,Yes,No,Online,No Info,No Info,No Info,No Info,
Company453,Failed,,,,,No Info,No Info,Yes,No,No,Online,No Info,No Info,No Info,No Info,
Company454,Failed,8,0,,,No Info,No Info,Yes,Yes,No,Online,No Info,No Info,No Info,8,
Company455,Failed,,,,,No Info,No Info,Yes,No,Yes,Online,No Info,No Info,No Info,No Info,
Company456,Failed,,,,,No Info,No Info,Yes,Yes,Yes,Online,No Info,No Info,No Info,No Info,
Company457,Failed,,-24,,500000,No Info,No Info,Yes,No,Yes,Online,No Info,No Info,No Info,No Info,
Company458,Failed,,,,,No Info,No Info,Yes,No,Yes,Online,No Info,No Info,No Info,No Info,
Company459,Failed,,1,1,18000,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,No Info,
Company460,Failed,5,0,,18000,No Info,No Info,Yes,No,No,Online,No Info,No Info,No Info,No Info,
Company461,Failed,4,-1,,,No Info,No Info,Yes,Yes,No,Online,No Info,No Info,No Info,No Info,
Company462,Failed,4,4,0,12000,No Info,No Info,Yes,Yes,No,Online,No Info,No Info,No Info,No Info,
Company463,Failed,7,18,0,440000,No Info,No Info,Yes,No,Yes,Online,No Info,No Info,No Info,No Info,
Company464,Failed,,,,,No Info,0,No,No,No,Online,No Info,No Info,No Info,6,
Company465,Failed,,-30,,2000000,0,0,No,No,No,Online,No Info,No Info,No Info,0,
Company466,Failed,7,0,,3500000,0,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company467,Failed,8,0,,30000000,0,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company468,Failed,3,-5,,,0,0,No,No,No,Online,No Info,No Info,No Info,No Info,
Company469,Failed,,,,,0,0,No,No,No,Online,No Info,No Info,No Info,0,
Company470,Failed,4,0,0,,No Info,No Info,No,Yes,Yes,Online,No Info,No Info,No Info,No Info,
Company471,Failed,5,0,,100000,No Info,No Info,No,Yes,Yes,Online,No Info,No Info,No Info,No Info,
Company472,Failed,1,11,,120000,0,1,No,Yes,Yes,Online,No Info,No Info,No Info,No Info,
